id;start_time;end_time;status;is_returned
1;2024-06-15T03:12:41;2024-06-15T17:10:01;Canceled;false
2;2024-06-15T06:50:42;2024-06-15T02:26:25;Refused;true
3;2024-06-15T08:13:35;2024-06-15T02:14:14;Pending;true
4;2024-06-15T04:31:27;2024-06-15T01:55:59;Pending;true
5;2024-06-15T04:51:00;2024-06-15T11:27:42;Pending;false
6;2024-06-15T15:26:31;2024-06-14T21:46:02;Pending;true
7;2024-06-15T16:37:15;2024-06-15T00:13:59;Confirmed;false
8;2024-06-15T04:24:03;2024-06-15T17:47:57;Pending;false
9;2024-06-15T16:54:20;2024-06-15T01:46:37;Confirmed;true
10;2024-06-15T08:39:04;2024-06-15T09:18:51;Refused;true
